beta,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000000e+00,6.704725045026342922e-01,3.102611428934692189e-02,-7.480371289656734257e-02,9.450684742180473497e-02,5.220893333333334052e-01,6.243001786533995678e-02
5.000000000000000000e+00,7.015113578268743488e-01,1.972269306241387909e-02,-7.420929542719729988e-02,1.065555776946505440e-01,5.232333333333333281e-01,6.054737025209637469e-02
1.000000000000000000e+01,7.067610377531257093e-01,2.391370161670954356e-02,-4.774088005126692069e-02,1.107169485691451849e-01,5.163759999999999462e-01,6.798030533094778782e-02
1.500000000000000000e+01,6.982852326418046429e-01,1.456793061625284540e-02,-6.408214249834549847e-02,1.195040556060967818e-01,5.068546666666666756e-01,7.638656273920899076e-02
