beta,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000000e+00,6.871191636868430042e-01,2.576093168908622291e-02,-5.585705670174620496e-02,6.250554006155380204e-02,5.088213333333333477e-01,2.927016058111818128e-02
5.000000000000000000e+00,8.572017695027018824e-01,2.510281457249740125e-02,-6.895351471157500078e-02,8.126321494657783029e-02,5.229239999999999444e-01,4.713792907344714622e-02
1.000000000000000000e+01,9.453136439283363890e-01,2.150056912806512510e-02,-9.134600685588280256e-02,1.267420875733951957e-01,5.414680000000000604e-01,6.292523887210212108e-02
1.500000000000000000e+01,9.924608255105513699e-01,2.539703838441990241e-02,-9.317863061993560125e-02,1.153044146027933786e-01,5.454200000000000159e-01,5.827743645700281250e-02
