rho,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
0.000000000000000000e+00,4.136102186122626034e-01,6.445057563291904656e-02,-2.782044677320317030e-02,1.204515888785167160e-01,3.470666666666668010e-01,5.205207136448397609e-02
2.000000000000000111e-01,4.270466912267456006e-01,6.533564903579430760e-02,7.768415283294112517e-02,1.192519164547243687e-01,2.892253333333333898e-01,6.039282796270872833e-02
4.000000000000000222e-01,3.920211314455056550e-01,5.876992095218223217e-02,1.782943643349685636e-01,1.429763392805677158e-01,2.174293333333333356e-01,5.130999150696133326e-02
5.999999999999999778e-01,3.907419807615875595e-01,4.790092919154201323e-02,2.201021062401390116e-01,1.051629729317862805e-01,1.783240000000000103e-01,5.350048807254004918e-02
8.000000000000000444e-01,4.169519302901189550e-01,6.150690945256367947e-02,3.151130954869409972e-01,9.371286486476707034e-02,1.051960000000000117e-01,4.085437424696541919e-02
9.000000000000000222e-01,4.077955726094295574e-01,5.472681759369307092e-02,3.574731739711232148e-01,7.692289130185139823e-02,8.330533333333335622e-02,4.506726250099214737e-02
9.499999999999999556e-01,4.167382900598082252e-01,6.909473161916228345e-02,4.033384660462464577e-01,6.849038207339327999e-02,4.735333333333333061e-02,3.054687981884020298e-02
1.000000000000000000e+00,3.983211183527510801e-01,5.685836327493778986e-02,3.982920504603270628e-01,5.679272691673333678e-02,0.000000000000000000e+00,0.000000000000000000e+00
