deceptive_prop,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000056e-01,6.454894566740253525e-01,2.160227301385964777e-02,2.674595836319479392e-01,1.013469914912189102e-01,3.175706666666667233e-01,6.281013104410607117e-02
2.000000000000000111e-01,6.668925749598912933e-01,2.811372624143370497e-02,1.441352909972656304e-01,1.121966581372352140e-01,3.943253333333334165e-01,7.357575885816981798e-02
2.999999999999999889e-01,6.833411166119242042e-01,2.278335128014050831e-02,-4.202093157759127437e-03,1.254056396016351993e-01,4.767559999999999576e-01,7.640192040634696813e-02
4.000000000000000222e-01,7.015113578268743488e-01,1.972269306241387909e-02,-7.420929542719729988e-02,1.065555776946505440e-01,5.232333333333333281e-01,6.054737025209637469e-02
5.000000000000000000e-01,7.093120951226192794e-01,2.325828324486315518e-02,-1.230664241749199472e-01,1.213826024248781249e-01,5.525999999999999801e-01,7.494222723019527965e-02
