N_Questions,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
2.500000000000000000e+01,9.200508467356504072e-01,3.642627295825417305e-02,-8.158362258712170689e-02,1.081234354918873958e-01,5.150813333333332800e-01,4.409135423438728663e-02
7.500000000000000000e+01,8.572017695027018824e-01,2.510281457249740125e-02,-6.895351471157500078e-02,8.126321494657783029e-02,5.229239999999999444e-01,4.713792907344714622e-02
1.500000000000000000e+02,8.444084880132723958e-01,2.148584724947658064e-02,-5.964343368839197801e-02,9.945158520995700524e-02,5.284813333333332475e-01,4.823121034719692057e-02
