N_Questions,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
2.500000000000000000e+01,4.414720857353169881e-01,5.617682338003181924e-02,2.260290198071214229e-01,1.000795571527147154e-01,2.088173333333332993e-01,4.966573566912661775e-02
7.500000000000000000e+01,4.104048688565959946e-01,5.493548900060069018e-02,1.979346985146886728e-01,1.267018796268295500e-01,2.097333333333333549e-01,5.004337496390284107e-02
1.500000000000000000e+02,4.025788790977122278e-01,5.749666722007371750e-02,2.045384099099565034e-01,1.209299647844956638e-01,2.041133333333333133e-01,5.524520089765464631e-02
