beta,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000000e+00,6.652076577925550849e-01,2.914062969550915844e-02,-5.848918407455735990e-02,5.952079911060979833e-02,5.061506666666666376e-01,3.510029518077843053e-02
5.000000000000000000e+00,8.395431242635480462e-01,2.374605850936174420e-02,-7.119722391162326691e-02,9.118105323036665433e-02,5.375640000000000418e-01,4.798074838006500392e-02
1.000000000000000000e+01,9.189404814257752241e-01,2.866364620595276275e-02,-7.200687307484694710e-02,1.032558940637010175e-01,5.358373333333333877e-01,5.979068252941534267e-02
1.500000000000000000e+01,9.619018868021312896e-01,2.545243242990318303e-02,-8.344134460165200662e-02,9.951009937816410189e-02,5.458493333333334085e-01,6.483704950446499138e-02
