N_Questions,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
2.500000000000000000e+01,8.552240537026912781e-01,3.187682129454686569e-02,-7.806584765144214400e-02,7.969052646493129943e-02,5.350733333333334008e-01,4.728430559451576864e-02
7.500000000000000000e+01,8.395431242635480462e-01,2.374605850936174420e-02,-7.119722391162326691e-02,9.118105323036665433e-02,5.375640000000000418e-01,4.798074838006500392e-02
1.500000000000000000e+02,8.353374038598454510e-01,2.666573391174981850e-02,-9.456644926194517076e-02,8.459258777316319700e-02,5.403746666666666698e-01,4.167951565084327542e-02
