global_correlation,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
0.000000000000000000e+00,6.935731365785088309e-01,2.164361882218537869e-02,-5.324918294352944115e-02,1.092998998409001887e-01,5.073466666666666125e-01,6.823424360246106712e-02
2.000000000000000111e-01,6.986075464109129385e-01,2.411948952868205737e-02,-6.986615856937065938e-02,1.203444893040355179e-01,5.109373333333333544e-01,7.787660713947132385e-02
4.000000000000000222e-01,7.023455004639574950e-01,2.350931310082770079e-02,-8.027427783014157159e-02,1.213763678055791162e-01,5.195319999999999938e-01,7.096842927512048149e-02
5.999999999999999778e-01,7.015113578268743488e-01,1.972269306241387909e-02,-7.420929542719729988e-02,1.065555776946505440e-01,5.232333333333333281e-01,6.054737025209637469e-02
8.000000000000000444e-01,7.047432181228781012e-01,2.473074546448470259e-02,-5.978082884146736220e-02,1.083198394907409351e-01,5.214079999999999826e-01,6.393977811103888909e-02
