beta,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000000e+00,3.737171422468496540e-01,5.326814497695206430e-02,1.995656890190457833e-01,1.038607191985237016e-01,1.898973333333333346e-01,4.691739162968603521e-02
3.000000000000000000e+00,4.203632294769712452e-01,6.723088100145531432e-02,1.904880899188969023e-01,1.111305359785303010e-01,2.039306666666666490e-01,5.373674258828869954e-02
5.000000000000000000e+00,3.929990040842637478e-01,6.087616656789582997e-02,2.177739145106252494e-01,1.322836596859783553e-01,1.983226666666666471e-01,5.240528617950249851e-02
7.000000000000000000e+00,3.936493581545488230e-01,4.840853163321157115e-02,1.740499568444822398e-01,1.216478793430530170e-01,2.136919999999999931e-01,6.272914458562657558e-02
1.000000000000000000e+01,4.207504234468825710e-01,6.208157679244882127e-02,2.088352784343920632e-01,1.038231737359529006e-01,1.902146666666666430e-01,5.429673416002517988e-02
1.500000000000000000e+01,4.059050773284600400e-01,5.706427336745984596e-02,2.272507806543143660e-01,1.036027431286427047e-01,1.948159999999999892e-01,4.835198639605661763e-02
