beta,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000000e+00,6.782348723904557675e-01,3.095799520231913224e-02,-4.269094736801046230e-02,9.039727251964470300e-02,4.996386666666666754e-01,5.222587879586135240e-02
5.000000000000000000e+00,7.049404391058424757e-01,2.193372559311392370e-02,-6.801567831606841752e-02,1.053160149396726863e-01,5.003373333333334116e-01,6.056480739762252347e-02
1.000000000000000000e+01,7.096144949086542475e-01,2.294695562883831627e-02,-8.407023621932424584e-02,1.229759001827647469e-01,5.169773333333333998e-01,6.440860068172400699e-02
1.500000000000000000e+01,7.117804296310906720e-01,2.852457311593330561e-02,-4.939372100685350542e-02,1.159572958212024552e-01,4.983599999999999697e-01,6.233101029539345195e-02
