beta,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
1.000000000000000000e+00,6.648154693583981922e-01,2.464782494824903358e-02,-7.846917732678006241e-02,8.359914109470790999e-02,5.252560000000000562e-01,4.595114189851845499e-02
3.000000000000000000e+00,6.942822326580767589e-01,2.390468175860048158e-02,-6.417450428134512108e-02,1.248541320204046984e-01,5.025106666666666611e-01,7.666944297581809731e-02
5.000000000000000000e+00,7.023455004639574950e-01,2.350931310082770079e-02,-8.027427783014157159e-02,1.213763678055791162e-01,5.195319999999999938e-01,7.096842927512048149e-02
7.000000000000000000e+00,7.048503618920736180e-01,1.868592978763977328e-02,-6.187366903350915992e-02,1.141147086232567193e-01,5.171706666666666674e-01,6.724207301979914786e-02
1.000000000000000000e+01,7.067610377531257093e-01,2.391370161670954356e-02,-4.774088005126692069e-02,1.107169485691451849e-01,5.163759999999999462e-01,6.798030533094778782e-02
1.500000000000000000e+01,6.982852326418046429e-01,1.456793061625284540e-02,-6.408214249834549847e-02,1.195040556060967818e-01,5.068546666666666756e-01,7.638656273920899076e-02
