N_Questions,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
2.500000000000000000e+01,7.078234313860249927e-01,2.098327323808109324e-02,-6.548328837458776419e-02,1.273028069837756904e-01,5.258573333333333988e-01,6.544442393359421739e-02
7.500000000000000000e+01,7.015113578268743488e-01,1.972269306241387909e-02,-7.420929542719729988e-02,1.065555776946505440e-01,5.232333333333333281e-01,6.054737025209637469e-02
1.500000000000000000e+02,6.946284584900128678e-01,2.237876798700647388e-02,-1.037926255262245634e-01,1.080157267526135195e-01,5.341946666666665955e-01,5.706227528275089472e-02
