N_Questions,mean_final_fitness,std_final_fitness,mean_final_value,std_final_value,mean_final_deceptive_ratio_raw,std_final_deceptive_ratio_raw
2.500000000000000000e+01,7.299074935560337929e-01,2.523613420926786380e-02,-1.276047889195772687e-02,1.452179267314527011e-01,4.881626666666666892e-01,6.796832878137679113e-02
7.500000000000000000e+01,7.049404391058424757e-01,2.193372559311392370e-02,-6.801567831606841752e-02,1.053160149396726863e-01,5.003373333333334116e-01,6.056480739762252347e-02
1.500000000000000000e+02,7.090686715044755006e-01,2.376959274562763860e-02,-2.580598965280429119e-02,1.093739105260698036e-01,5.025960000000000427e-01,6.884712650826063651e-02
